year,state,special,cook_rating,winner_name,winner_party,winner_pct
1986,MO,False,NA,Christopher (Kit) Bond,Republican,52.6
1986,NV,False,NA,Harry Reid,Democrat,50.0
1986,NH,False,NA,Warren B. Rudman,Republican,63.0
1986,NY,False,NA,Alfonse M. D'Amato,Republican,45.3
1986,NC,False,NA,Terry Sanford,Democrat,51.8
1986,ND,False,NA,Kent Conrad,Democrat,49.8
1986,OH,False,NA,John Glenn,Democrat,62.5
1986,OK,False,NA,Don Nickles,Republican,55.2
1986,OR,False,NA,Bob Packwood,Republican,63.0
1986,PA,False,NA,Arlen Specter,Republican,56.4
1986,SC,False,NA,Ernest Fritz Hollings,Democrat,63.1
1986,SD,False,NA,Thomas A. Daschle,Democrat,51.6
1986,UT,False,NA,E. J. Jake Garn,Republican,72.3
1986,VT,False,NA,Patrick Leahy,Democrat,63.2
1986,WA,False,NA,Brock Adams,Democrat,50.7
1986,WI,False,NA,Robert W. Kasten Jr.,Republican,50.9
1988,AZ,False,NA,Dennis DeConcini,Democrat,56.7
1988,CA,False,NA,Pete Wilson,Republican,52.8
1988,CT,False,NA,Joe Lieberman,Democrat,49.8
1988,DE,False,NA,William V. Roth Jr.,Republican,62.1
1988,FL,False,NA,Connie Mack,Republican,50.4
1988,HI,False,NA,Spark Matsunaga,Democrat,76.6
1988,IN,False,NA,Richard G. Lugar,Republican,68.1
1988,ME,False,NA,George J. Mitchell,Democrat,81.3
1988,MD,False,NA,Paul S. Sarbanes,Democrat,61.8
1988,MA,False,NA,Edward M. Kennedy,Democrat,65.0
1988,MI,False,NA,Donald W. Riegle Jr.,Democrat,60.4
1988,MN,False,NA,Dave Durenberger,Republican,56.2
1988,MS,False,NA,Trent Lott,Republican,53.9
1988,MO,False,NA,John C. Danforth,Republican,67.7
1988,MT,False,NA,Conrad Burns,Republican,51.9
1988,NE,False,NA,Bob Kerrey,Democrat,56.7
1988,NV,False,NA,Richard H. Bryan,Democrat,51.3
1988,NJ,False,NA,Frank R. Lautenberg,Democrat,53.6
1988,NM,False,NA,Jeff Bingaman,Democrat,63.3
1988,NY,False,NA,Daniel Patrick Moynihan,Democrat,64.7
1988,ND,False,NA,Quentin N. Burdick,Democrat,59.4
1988,OH,False,NA,Howard M. Metzenbaum,Democrat,57.0
1988,PA,False,NA,John Heinz,Republican,66.5
1988,RI,False,NA,John H. Chaffee,Republican,54.6
1988,TN,False,NA,Jim Sasser,Democrat,65.1
1988,TX,False,NA,Lloyd Bentsen,Democrat,59.2
1988,UT,False,NA,Orrin G. Hatch,Republican,67.1
1988,VT,False,NA,James M. Jeffords,Republican,68.0
1988,VA,False,NA,Charles S. Robb,Democrat,71.2
1988,WA,False,NA,Slade Gorton,Republican,51.1
1988,WV,False,NA,Robert C. Byrd,Democrat,64.8
1988,WI,False,NA,Herbert H. Kohl,Democrat,52.1
1988,WY,False,NA,Malcolm Wallop,Republican,50.4
1990,AL,False,NA,Howell Heflin,Democrat,60.6
1990,AK,False,NA,Ted Stevens,Republican,66.2
1990,AR,False,NA,David H. Pryor,Democrat,99.8
1990,CO,False,NA,Hank Brown,Republican,55.7
1990,DE,False,NA,Joseph R. Biden Jr.,Democrat,62.7
1990,GA,False,NA,Sam Nunn,Democrat,100.0
1990,HI,True,NA,Daniel K. Akaka,Democrat,54.0
1990,ID,False,NA,Larry E. Craig,Republican,61.3
1990,IL,False,NA,Paul Simon,Democrat,65.1
1990,IN,True,NA,Dan Coats,Republican,53.6
1990,IA,False,NA,Tom Harkin,Democrat,54.5
1990,KS,False,NA,Nancy Landon Kassebaum,Republican,73.6
1990,KY,False,NA,Mitch McConnell,Republican,52.2
1990,LA,False,NA,J. Bennett Johnston,Democrat,100.0
1990,ME,False,NA,William S. Cohen,Republican,61.3
1990,MA,False,NA,John F. Kerry,Democrat,54.5
